record_id	concept_id	name	source	sha256	ownership	disposition	canonical_path	provenance_id	agents	public_reason
repo-bookend	bookend	bookend	repository	182d1bd39bdb0e70c51c0989620c14db64c89a24904a94264b4b045714456ce3	repository	default	skills/bookend/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-brainstorming	brainstorming	brainstorming	repository	f56c9178c9f26a25eb54679f47c673675012e7138a1541da600a12daf63f3fb6	repository	default	skills/brainstorming/SKILL.md	superpowers-workflow-patterns	all	Independent condensed reimplementation of the attributed upstream workflow pattern.
repo-common-ground	common-ground	common-ground	repository	c6d8cc24e68a6d6333df960a72446f961bb9d479a44d6365ed043f532c330ec9	repository	default	skills/common-ground/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-delegating-work	delegating-work	delegating-work	repository	d997ecbc1f07f2b77894bd708d6448ac00b494a27404f641b7db5afba51da25d	repository	default	skills/delegating-work/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-doubt-driven-development	doubt-driven-development	doubt-driven-development	repository	8d2a1115d90f26a2b125b8188578b37f33586b0d7b7e2ab2c26076482881b6e1	repository	default	skills/doubt-driven-development/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-exa	exa	exa	repository	15ee7563770fee99f845d67356e71eb1f0caf42bed2039a2bfd7bb8532dbc235	repository	default	skills/exa/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-grill-with-docs	grill-with-docs	grill-with-docs	repository	866197a0ef242595ded000420d743fcb27064223251eb1bcc23c9294aded91e5	repository	default	skills/grill-with-docs/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-handoff	handoff	handoff	repository	96f0176d900673475d277e096d0d35b5a5fb9bade4d32942c7da7745d7954d77	repository	default	skills/handoff/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-honest-feedback	honest-feedback	honest-feedback	repository	06803767d93d8a8a992c6843d7722e3f9c9c761709e87d97e3c818faee303207	repository	default	skills/honest-feedback/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-long-horizon-prompting	long-horizon-prompting	long-horizon-prompting	repository	fc34e06061cd6e77c7684d000994a00ff076093f927932c61dd632f981b1fa3f	repository	default	skills/long-horizon-prompting/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-prompt-creator	prompt-creator	prompt-creator	repository	aa9a34b2f9279c7a5836a47649352645ffb759490a3650623fefef2ef9e675de	repository	default	skills/prompt-creator/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-re-entry	re-entry	re-entry	repository	fc198a9294fdb6c6d543af4d4d8bc363dd2e01bf2a9b097cb4c4bcd775d83fcc	repository	default	skills/re-entry/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-receiving-code-review	receiving-code-review	receiving-code-review	repository	c32bac8ed8f5ad68b68894c3d1ec7e31f7d1e68e6f0ae44671ce5f631beeaf23	repository	default	skills/receiving-code-review/SKILL.md	superpowers-workflow-patterns	all	Independent condensed reimplementation of the attributed upstream workflow pattern.
repo-security-validators	security-validators	security-validators	repository	e9242946bcf9f919f8e00a9df979eeb2bf5d75ef887f1933a9d4e2194cd63d1a	repository	default	skills/security-validators/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-skill-forge	skill-forge	skill-forge	repository	df2355d9c82ef73311c0a7d11156bdd87e471bf2722604d7572bddfbb1040536	repository	default	skills/skill-forge/SKILL.md	-	all	Reviewed default body shipped and installed by this repository.
repo-stop-slop	stop-slop	stop-slop	repository	8bb7bfcb252fc69e851620b757f5af746841be0280568dcb24e0561aef8687a0	repository	default	skills/stop-slop/SKILL.md	stop-slop-pattern	all	Independent compact reimplementation of the attributed upstream editing pattern.
repo-systematic-debugging	systematic-debugging	systematic-debugging	repository	3ad3429fa741530ff13f6ea325fa3307f957507b27cb5cfd8c773219b85dcd49	repository	default	skills/systematic-debugging/SKILL.md	superpowers-workflow-patterns	all	Independent condensed reimplementation of the attributed upstream workflow pattern.
repo-unstick	unstick	unstick	repository	003beecec09dff1146a39d2ff98ca8cb51762ca2a9b34462e9beb1a2d99ae323	repository	default	skills/unstick/SKILL.md	superpowers-workflow-patterns	all	Independent condensed reimplementation of the attributed upstream workflow pattern.
repo-verification-before-completion	verification-before-completion	verification-before-completion	repository	f79f1ed45250a4da993dfaec1c93a922473d77328f23bd1e1990ebe447c1b979	repository	default	skills/verification-before-completion/SKILL.md	superpowers-workflow-patterns	all	Independent condensed reimplementation of the attributed upstream workflow pattern.
repo-writing-plans	writing-plans	writing-plans	repository	3f7a65d68b700d5f4a649b4cc95303bf7de0931e75adf4e6f20f96b0d18a9eef	repository	default	skills/writing-plans/SKILL.md	superpowers-workflow-patterns	all	Independent condensed reimplementation of the attributed upstream workflow pattern.
repo-optional-authentic	authentic	authentic	repository	60f5211cff62083c993cea81f833a36ba7dffbdbc1c43bf6c3c418db683ec0e8	repository	optional	optional-skills/authentic/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
